,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
WT_L1_1,-150.59418779769936,-44.59189751765941,-24.039159481085893,-3.19070573903408,-4.523599719851667,-1.0224552635107251,7.4558060643097575,13.444315087291862,-2.691778192307223,0.6074896979393686
WT_L1_2,-146.47035121617887,-47.66529000213307,-24.669945129062334,1.248026745697061,0.9264183100858498,2.055088698648672,2.068611361885307,9.072984849000369,-5.704111259859238,1.6251799533502307
WT_L1_3,-154.48208014139425,-51.740027375873716,-23.36905030419079,-6.754681922667188,-7.013747379483462,-0.6111017267993117,1.5614394333791497,12.965896805207734,-4.934449934157367,3.9145565332631453
WT_L1_4,-169.21780324216223,-45.11458917497536,-27.3805203354941,-10.960193268630295,-10.835574123109671,3.2472477067592243,-0.9729255217577406,9.80509332124092,-1.8745305805095724,1.291751618691914
LiY_L1_1,125.06703414336485,41.39665976471009,-93.16219307279218,58.32119448427318,-92.64551385566708,-77.31558025634298,-33.81304157087837,7.162917332456592,24.698321159772927,5.691202948094227
LiY_L1_2,88.76944809273323,-7.537620662085044,19.095802056005255,95.00465553418569,58.492090400360595,-23.83591176312658,17.111889362198227,7.854148677617656,-47.04353698536739,-22.515997729035288
LiY_L1_3,72.76532691036262,-9.092378232957758,-3.2150863830436096,78.1083457882323,44.07472624641717,6.822644834807026,22.839471420015773,-23.233046921656864,-19.025467748269577,9.302899651477398
LiY_L1_4,24.44132004672057,-15.954258491971391,-3.6527587837237547,72.86954216950689,38.315346144294814,13.946770736097141,26.647886024549262,-22.54470169352998,55.73012896731005,12.495428563471863
WT_p18_1,-224.18301424739263,210.3085163844854,34.09049878232318,12.630795461200172,10.479578253105544,-5.316078253399047,2.951373861933233,-2.8870267979529265,-0.6623752404524584,2.337167339538943
WT_p18_2,-100.03720388934718,-38.51332234409517,-11.042877245588588,11.538559571739418,5.158536829013581,-8.041031489924949,-3.6512406215982685,10.79651141455508,-5.21539699927188,1.573414300737938
WT_p18_3,61.08061079652861,-18.683421647184044,100.85422903082804,-16.459117435770672,21.03742950408253,-48.43584993248514,-45.17164613281924,75.75060072816004,13.48655537072057,-42.6666561577807
WT_p18_4,73.91630819706319,-15.274268162027035,81.09556471489748,-35.007730076438,-12.553490734397505,-36.73781523566628,-11.689365168066896,-22.62844325852623,-25.89598178163991,99.8263923402489
WT_p18_5,27.677798426029312,-15.74909837261314,55.034869364635696,-49.06093097043861,-50.85878246818671,-40.581665012037405,64.01948694024951,-71.90287449043466,10.306188682969385,-58.98858096647834
WT_p18_6,-38.002185409284635,-26.68582507388682,12.899014675669257,-12.330668754211644,-4.241396675362965,1.89722210216707,-13.588536659457798,-16.66732026097381,13.267405400948029,7.322114844903006
WT_p18_7,-54.78148282795649,-26.769822156180087,14.59673448740555,-8.854188834874444,-7.373180265555387,-9.859281153039655,1.542129603885294,-7.0421029575051435,10.106711300861498,4.639681412396838
LiY_p18_1,125.61843808303652,25.04483801997493,7.15300753434712,-13.871707873361071,-47.161905654721984,51.195662101549715,90.30895029867742,74.19937702917194,18.922407921874623,20.881474200090974
LiY_p18_2,110.41054923945795,34.603451679469856,-93.472602406766,-110.36623822509225,101.01923891821598,-41.97892773805803,17.748955205450535,2.384722595904541,5.456942488048107,2.8151365005767746
LiY_p18_3,64.94341443684729,3.292396299172701,21.30354356477007,-5.918774367311778,23.679017777065177,52.89739137873337,-51.35069136793585,-19.9459069301521,79.74118892028297,-0.40901115054585213
LiY_p18_4,73.4691458950547,11.639254735873015,-12.187326741392827,-14.479940679074389,-14.68341787881081,45.057734694281024,-35.46871405111904,-16.183826446187172,-23.259014233044173,-11.74910263451365
LiY_p18_5,50.810642067017206,2.189381122942661,-6.29738124409486,-0.35494215219102154,-8.30093572191163,35.87305992197354,-17.441575093892837,-17.65895413094346,-28.420527568407973,-9.491437920550027
LiY_p18_6,57.709335104782184,10.134742706052984,-5.247393343308827,-17.291265821499174,-15.352243824449733,43.99626780263676,-20.1445415548071,-5.7174028579611775,-17.473156986929304,-12.002371836162462
LiY_p18_7,81.08893733241786,24.762578500960537,-18.38696974033794,-24.820033634240183,-27.63859408113274,36.746607846736744,-20.96372183420036,2.975038905216812,-49.515522702572014,-16.500731509715227
