,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
WT_L1_1,-185.46181809076316,-17.112410460445254,2.3494059934912435,0.20937343634665723,-3.0373291933402764,10.04250032948281,15.52504300764793,-3.4561552078513316,-1.659213602061986,9.561920746625056
WT_L1_2,-179.6783714159704,-14.41199532082232,9.821194200478391,6.883920865043397,0.7325419795218291,2.702007762365351,9.433831360822037,-8.818793438913493,2.388959398137976,6.603679858908481
WT_L1_3,-189.86736051199517,-15.368058847964058,-0.7845480786099981,-0.996161644532314,-2.6469014671251836,2.31412622778078,13.91926636817357,-7.145986152829472,4.817109413758884,10.506442365985862
WT_L1_4,-206.38847632631956,-24.442914100279957,-7.334424331013393,-4.521871465349715,2.791173913475302,-0.6322592328856564,10.74753520066208,-2.3874369602801653,0.37879657768929703,9.446746928121534
LiY_L1_1,125.6335203269383,-109.64864080988015,56.06883798785677,-96.81413401616537,-75.90471468663957,-38.822724172700035,5.535043257916754,25.04862307939627,6.784979631045138,1.0763993610192186
LiY_L1_2,90.87003795320955,46.301380695247936,105.24504687449603,36.176546276802334,-26.511441891177558,9.660766272444786,15.139753985259663,-52.73872141374284,-34.10496806044665,58.2764606211325
LiY_L1_3,74.07732720735183,18.262318264959227,92.39313671788688,32.86784841884631,8.52596319562173,22.08783608536638,-28.892958623709262,-17.24995547225756,19.06476861959971,-49.24307231533608
LiY_L1_4,17.970122685171273,15.647162324740918,84.67387016116113,26.1064119867522,14.35374233833857,29.855315879984488,-26.25953364286615,61.01583524384212,7.765015127457592,-8.284599111939007
WT_p18_2,-125.67114274532302,1.37484092478856,19.413973538745115,5.312742509021058,-11.137895726428104,-5.752984035032267,10.121626381407332,-5.7269927720366045,4.691246843077051,-7.547015526474322
WT_p18_3,58.56013645489808,109.71395915517125,-31.3713339180046,7.147172024995727,-47.475863130962715,-43.70616165576159,77.14868046566647,17.191429892734156,-31.155086059721132,-44.960323391811485
WT_p18_4,71.77220647588953,80.40490506658435,-51.31381471911441,-18.785236745890273,-34.42316129840451,-9.100193267528127,-25.409348945527878,-25.847134763130043,95.24884875431603,35.06424042343985
WT_p18_5,16.690615410078028,42.49821256385133,-66.77722154016557,-52.52727306060261,-39.08439476595563,60.75304358454732,-71.5242718839401,2.7661541892604897,-66.60765320677147,5.92514455022333
WT_p18_6,-53.44278696583341,16.509787742223086,-15.157221257939794,-3.767336840866796,4.064702745155634,-14.826125167848097,-26.55600592547755,19.486293506963914,13.927852974194016,-22.72766499750421
WT_p18_7,-73.8704354253608,18.114990206066206,-13.271058136620042,-10.113809708903295,-10.687449102160347,2.556845824176007,-13.228724245263802,16.70407320682688,5.071963160651424,-15.910351844277644
LiY_p18_1,129.64256601209829,-12.270592106830867,-22.488734545582282,-42.5650583728965,47.54622931248325,97.95535558329901,72.68397006956732,20.171160597246402,21.966097567422825,4.272164475413024
LiY_p18_2,109.98644354146266,-93.97660399221968,-76.15743748086082,130.34715642269114,-54.825884640686084,18.037501518421678,-0.317656260456115,6.192577363686595,2.855212500413564,-2.3462848595524632
LiY_p18_3,64.54426252472814,22.13348469452636,-10.835183261140784,24.70037533680825,55.81100940697953,-54.04742211809714,-11.785446265108552,73.94198544872334,-14.028027533874209,59.39536042804147
LiY_p18_4,72.3648040336462,-21.999393767789222,-17.953533126671186,-7.403517845716543,48.10930042787129,-34.95125976474619,-15.750115380485925,-25.181149455716763,-3.633078964824885,-19.44043895977427
LiY_p18_5,48.16684314237389,-9.480601147932358,-2.218166722842311,-3.662090282404961,40.42175409991156,-17.264864129062865,-19.980252968392925,-30.51208657884348,-2.117377181743262,-40.026042543009126
LiY_p18_6,54.73650059318027,-15.848332635692591,-22.53395457017978,-8.930678671610309,46.8229668942362,-18.172594207232102,-3.1042185690563486,-14.974121905334922,-9.688144217121138,-13.503598893219541
LiY_p18_7,79.36500512053911,-36.401498448302696,-31.768833785370454,-19.664378622368456,36.555651589285,-18.68871131697452,12.553782613161257,-48.47959840774352,-21.967301741198842,23.860832683987876
