,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
WT_L1_1,-185.46181809076316,-17.112410460445155,2.3494059934896687,0.20937343634677177,-3.037329193340311,10.042500329482541,15.52504300764819,-3.4561552078512445,-1.6592136020612718,9.561920746625166
WT_L1_2,-179.67837141597062,-14.411995320822747,9.821194200476935,6.883920865043411,0.7325419795218817,2.7020077623652408,9.433831360822111,-8.81879343891346,2.388959398138383,6.60367985890834
WT_L1_3,-189.86736051199563,-15.368058847963665,-0.7845480786114521,-0.9961616445322385,-2.6469014671251325,2.3141262277805645,13.919266368173675,-7.14598615282947,4.817109413759326,10.506442365985473
WT_L1_4,-206.38847632632013,-24.442914100279012,-7.334424331015446,-4.521871465349704,2.7911739134753275,-0.6322592328857598,10.74753520066219,-2.3874369602802394,0.37879657768977615,9.446746928121442
LiY_L1_1,125.6335203269369,-109.64864080988374,56.06883798784955,-96.81413401616493,-75.90471468663947,-38.82272417270109,5.535043257916494,25.048623079396258,6.784979631045397,1.0763993610186786
LiY_L1_2,90.87003795320882,46.301380695240034,105.24504687449881,36.17654627680292,-26.511441891177363,9.660766272444322,15.13975398526075,-52.73872141374198,-34.104968060443824,58.27646062113391
LiY_L1_3,74.07732720735092,18.26231826495258,92.39313671788766,32.86784841884643,8.525963195621504,22.087836085367066,-28.89295862370951,-17.24995547225804,19.064768619596823,-49.24307231533649
LiY_L1_4,17.97012268517034,15.647162324734811,84.67387016116156,26.106411986752107,14.353742338338215,29.855315879984506,-26.259533642866142,61.015835243841565,7.765015127457133,-8.284599111939285
WT_p18_2,-125.67114274532335,1.3748409247873519,19.41397353874484,5.312742509021229,-11.137895726427983,-5.752984035032408,10.121626381407271,-5.726992772036367,4.69124684307685,-7.547015526474387
WT_p18_3,58.56013645489924,109.71395915517304,-31.371333917997028,7.147172024996382,-47.475863130961876,-43.70616165576332,77.14868046566576,17.19142989273411,-31.155086059722734,-44.96032339181026
WT_p18_4,71.77220647589088,80.40490506658755,-51.31381471910844,-18.785236745890494,-34.423161298404565,-9.100193267527326,-25.409348945528272,-25.84713476313094,95.24884875431779,35.06424042343543
WT_p18_5,16.690615410079175,42.49821256385586,-66.77722154016203,-52.52727306060254,-39.08439476595679,60.75304358454761,-71.52427188393845,2.7661541892608468,-66.60765320677226,5.9251445502271585
WT_p18_6,-53.44278696583313,16.50978774222422,-15.157221257938742,-3.767336840867003,4.064702745155679,-14.826125167847618,-26.556005925478093,19.486293506963897,13.927852974193025,-22.727664997505123
WT_p18_7,-73.87043542536051,18.114990206067194,-13.271058136618873,-10.113809708903345,-10.687449102160501,2.5568458241760537,-13.228724245264056,16.704073206826898,5.071963160650582,-15.910351844277836
LiY_p18_1,129.6425660120988,-12.270592106829406,-22.48873454558241,-42.56505837289625,47.54622931248208,97.9553555832984,72.68397006956825,20.17116059724755,21.966097567423358,4.272164475411554
LiY_p18_2,109.98644354146303,-93.97660399221441,-76.15743748086688,130.34715642269097,-54.825884640685715,18.037501518420946,-0.3176562604562277,6.192577363686779,2.8552125004135775,-2.3462848595525427
LiY_p18_3,64.54426252472855,22.133484694527017,-10.835183261139338,24.700375336807767,55.81100940698044,-54.04742211809717,-11.78544626510941,73.9419854487237,-14.028027533870674,59.395360428041705
LiY_p18_4,72.36480403364635,-21.999393767787833,-17.953533126672433,-7.403517845716961,48.10930042787159,-34.95125976474524,-15.750115380486353,-25.181149455717424,-3.6330789648255304,-19.440438959773523
LiY_p18_5,48.16684314237388,-9.48060114793221,-2.2181667228428763,-3.662090282405198,40.421754099911546,-17.26486412906167,-19.98025296839343,-30.512086578843597,-2.11737718174603,-40.02604254300897
LiY_p18_6,54.73650059318041,-15.848332635691012,-22.533954570180622,-8.930678671610572,46.82296689423635,-18.17259420723146,-3.1042185690564663,-14.97412190533465,-9.688144217121856,-13.503598893219557
LiY_p18_7,79.36500512053932,-36.4014984483004,-31.76883378537259,-19.66437862236871,36.55565158928508,-18.688711316974242,12.553782613161857,-48.47959840774454,-21.96730174119788,23.860832683989077
